Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
03/10/2022,Race_eth_NHMult_Oth,11266087,6,4.4,10021058,95,95,6,4.6,53.9,6,5.9,6.4,5132503,56654
03/10/2022,US,254404423,,100,216449810,76.6,65.2,,100,45.8,,100,,95614292,990978
03/10/2022,Ages_50-64_yrs,58736303,23.1,23.1,51109990,92.3,80.3,23.6,23.6,51.2,27.4,24.5,23,26177288,228129
03/10/2022,Ages_<5yrs,49484,0,0,19949,0.3,0.1,0,0,0,0,0,0,0,0
03/10/2022,Age_unknown,25768,0,0,5956,,,0,0,0,0,0,0,0,0
03/10/2022,Race_eth_known,189127645,99.9,74.3,168064606,,,99.9,77.6,52.9,99.9,99.9,99.9,85399906,887037
03/10/2022,Ages_5-11_yrs,9653315,3.8,3.8,7641971,33.6,26.6,3.5,3.5,0,0,0,0,0,0
03/10/2022,Race_eth_unknown,65276730,34.5,25.7,48385102,,,28.8,22.4,21.6,12,29.2,11.7,10214386,103941
03/10/2022,Ages_18-24_yrs,23516773,9.2,9.2,19076310,76.9,62.4,8.8,8.8,29.5,5.9,9.1,11.6,5620039,114497
03/10/2022,Age_known,254378655,99.9,99.9,216443854,,,99.9,99.9,45.8,99.9,99.9,99.9,95614292,990978
03/10/2022,Ages_65-74_yrs,33489472,13.2,13.2,29093217,95,91.2,13.4,13.4,65.2,19.8,13.9,8.9,18955789,88454
03/10/2022,Ages_75+_yrs,22692936,8.9,8.9,19590562,95,85.5,9.1,9.1,68.9,14.1,9.4,5.6,13505370,55162
03/10/2022,Ages_25-39_yrs,54031424,21.2,21.2,45148027,79,66,20.9,20.9,34.2,16.2,21.6,23.6,15445477,233823
03/10/2022,Race_eth_NHNHOPI,603023,0.3,0.2,543088,64.9,58.5,0.3,0.3,43.7,0.3,0.3,0.8,224680,7501
03/10/2022,Ages_<12yrs,9708490,3.8,3.8,7663366,20,15.8,3.5,3.5,0,0,0,0,0,0
03/10/2022,Race_eth_NHAsian,12622557,6.7,5,11414795,66.4,60.1,6.8,5.3,66.6,8.3,6.6,9.2,7113392,81286
03/10/2022,Sex_Male,120543866,47.8,47.4,102272708,73.7,62.6,47.6,47.3,43.9,45.3,47.5,43.9,43186309,434575
03/10/2022,Ages_12-17_yrs,17191098,6.8,6.8,14660187,67.9,57.9,6.8,6.8,22.1,3.4,7,12.2,3238576,120921
03/10/2022,Sex_Female,131598666,52.2,51.7,112646305,78.1,66.8,52.4,52,48,54.7,52.5,56.1,52250890,554984
03/10/2022,Race_eth_NHAIAN,1731743,0.9,0.7,1434581,71.1,58.9,0.9,0.7,43.2,0.7,0.8,1,587388,8702
03/10/2022,Ages_40-49_yrs,35012159,13.8,13.8,30102195,85.8,73.8,13.9,13.9,42.1,13.3,14.4,15.1,12671753,149992
03/10/2022,Sex_unknown,2261891,0.9,0.9,1530797,,,0.7,0.7,11.7,0.2,0.7,0.1,177093,1419
03/10/2022,Race_eth_NHWhite,104492661,55.2,41.1,94533077,53,47.9,56.2,43.7,57.7,61.9,56.7,41.4,52821417,367207
03/10/2022,Ages_16-17_yrs,6001146,2.4,2.4,5145303,71.5,61.3,2.4,2.4,27.2,1.5,2.5,3.9,1401303,38308
03/10/2022,Race_eth_NHBlack,19398078,10.3,7.6,16896839,47.1,41,10.1,7.8,42.6,8.2,10.1,13.6,6965319,120995
03/10/2022,Sex_known,252142532,99.9,99.1,214919013,,,99.9,99.3,46,99.9,99.9,99.9,95437199,989559
03/10/2022,Ages_12-15_yrs,11189952,4.4,4.4,9514884,66.2,56.3,4.4,4.4,19.3,1.9,4.6,8.3,1837273,82613
03/10/2022,Race_eth_Hispanic,39013496,20.6,15.3,33221168,61.2,52.1,19.8,15.3,39.7,14.7,19.6,27.6,12555207,244692
03/09/2022,Age_unknown,25768,0,0,5956,,,0,0,0,0,0,0,0,0
03/09/2022,Age_known,254378655,99.9,99.9,216443854,,,99.9,99.9,45.8,99.9,99.9,99.9,95614292,1162389
03/09/2022,Ages_12-17_yrs,17191098,6.8,6.8,14660187,67.9,57.9,6.8,6.8,22.1,3.4,7,12.3,3238576,142776
03/09/2022,Ages_25-39_yrs,54031424,21.2,21.2,45148027,79,66,20.9,20.9,34.2,16.2,21.6,23.8,15445477,276415
03/09/2022,Ages_16-17_yrs,6001146,2.4,2.4,5145303,71.5,61.3,2.4,2.4,27.2,1.5,2.5,3.9,1401303,44814
03/09/2022,Race_eth_NHAsian,12622557,6.7,5,11414795,66.4,60.1,6.8,5.3,66.6,8.3,6.6,9.2,7113392,96077
03/09/2022,Ages_<5yrs,49484,0,0,19949,0.3,0.1,0,0,0,0,0,0,0,0
03/09/2022,Ages_40-49_yrs,35012159,13.8,13.8,30102195,85.8,73.8,13.9,13.9,42.1,13.3,14.4,15.3,12671753,177492
03/09/2022,Ages_18-24_yrs,23516773,9.2,9.2,19076310,76.9,62.4,8.8,8.8,29.5,5.9,9.1,11.5,5620039,133498
03/09/2022,Race_eth_Hispanic,39013496,20.6,15.3,33221168,61.2,52.1,19.8,15.3,39.7,14.7,19.6,27.7,12555207,288186
03/09/2022,Race_eth_NHNHOPI,603023,0.3,0.2,543088,64.9,58.5,0.3,0.3,43.7,0.3,0.3,0.8,224680,8229
03/09/2022,Race_eth_unknown,65276730,34.5,25.7,48385102,,,28.8,22.4,21.6,12,29.2,11.8,10214386,122283
03/09/2022,Ages_12-15_yrs,11189952,4.4,4.4,9514884,66.2,56.3,4.4,4.4,19.3,1.9,4.6,8.4,1837273,97962
03/09/2022,Ages_65-74_yrs,33489472,13.2,13.2,29093217,95,91.2,13.4,13.4,65.2,19.8,13.9,8.7,18955789,101708
03/09/2022,Ages_<12yrs,9708490,3.8,3.8,7663366,20,15.8,3.5,3.5,0,0,0,0,0,0
03/09/2022,Race_eth_known,189127645,99.9,74.3,168064606,,,99.9,77.6,52.9,99.9,99.9,99.9,85399906,1040106
03/09/2022,Race_eth_NHBlack,19398078,10.3,7.6,16896839,47.1,41,10.1,7.8,42.6,8.2,10.1,13.5,6965319,140153
03/09/2022,Race_eth_NHWhite,104492661,55.2,41.1,94533077,53,47.9,56.2,43.7,57.7,61.9,56.7,41.4,52821417,430579
03/09/2022,Race_eth_NHAIAN,1731743,0.9,0.7,1434581,71.1,58.9,0.9,0.7,43.2,0.7,0.8,1,587388,10238
03/09/2022,Ages_75+_yrs,22692936,8.9,8.9,19590562,95,85.5,9.1,9.1,68.9,14.1,9.4,5.4,13505370,62886
03/09/2022,Sex_known,252142532,99.9,99.1,214919013,,,99.9,99.3,46,99.9,99.9,99.9,95437199,1160569
03/09/2022,Ages_5-11_yrs,9653315,3.8,3.8,7641971,33.6,26.6,3.5,3.5,0,0,0,0,0,0
03/09/2022,Race_eth_NHMult_Oth,11266087,6,4.4,10021058,95,95,6,4.6,53.9,6,5.9,6.4,5132503,66644
03/09/2022,Sex_unknown,2261891,0.9,0.9,1530797,,,0.7,0.7,11.7,0.2,0.7,0.2,177093,1820
03/09/2022,US,254404423,,100,216449810,76.6,65.2,,100,45.8,,100,,95614292,1162389
03/09/2022,Sex_Female,131598666,52.2,51.7,112646305,78.1,66.8,52.4,52,48,54.7,52.5,56.3,52250890,653536
03/09/2022,Sex_Male,120543866,47.8,47.4,102272708,73.7,62.6,47.6,47.3,43.9,45.3,47.5,43.7,43186309,507033
03/09/2022,Ages_50-64_yrs,58736303,23.1,23.1,51109990,92.3,80.3,23.6,23.6,51.2,27.4,24.5,23,26177288,267614
03/08/2022,Sex_unknown,2261874,0.9,0.9,1530782,,,0.7,0.7,11.7,0.2,0.7,0.2,177075,2219
03/08/2022,Ages_65-74_yrs,33489265,13.2,13.2,29093022,95,91.2,13.4,13.4,65.2,19.8,13.9,8.8,18954872,114346
03/08/2022,Ages_40-49_yrs,35011634,13.8,13.8,30101686,85.8,73.8,13.9,13.9,42.1,13.3,14.4,15.2,12670489,197559
03/08/2022,Ages_50-64_yrs,58735724,23.1,23.1,51109469,92.3,80.3,23.6,23.6,51.2,27.4,24.5,23,26175270,298810
03/08/2022,Race_eth_NHWhite,104491811,55.3,41.1,94532125,53,47.9,56.2,43.7,57.7,61.9,56.7,41.6,52819401,481529
03/08/2022,Race_eth_NHAsian,12622286,6.7,5,11414622,66.4,60.1,6.8,5.3,66.6,8.3,6.6,9.2,7112970,106263
03/08/2022,Race_eth_NHMult_Oth,11265920,6,4.4,10020793,95,95,6,4.6,53.9,6,5.9,6.4,5131999,73608
03/08/2022,Race_eth_NHBlack,19397334,10.3,7.6,16895947,47.1,41,10.1,7.8,42.6,8.2,10.1,13.5,6963937,156317
03/08/2022,Age_unknown,25767,0,0,5955,,,0,0,0,0,0,0,0,0
03/08/2022,Race_eth_unknown,65275497,34.5,25.7,48383970,,,28.8,22.4,21.6,12,29.2,11.9,10213071,138231
03/08/2022,Race_eth_NHNHOPI,603004,0.3,0.2,543078,64.9,58.5,0.3,0.3,43.7,0.3,0.3,0.8,224672,8746
03/08/2022,Ages_5-11_yrs,9652179,3.8,3.8,7640265,33.6,26.6,3.5,3.5,0,0,0,0,0,0
03/08/2022,Ages_16-17_yrs,6000907,2.4,2.4,5145128,71.5,61.3,2.4,2.4,27.2,1.5,2.5,3.8,1401017,49792
03/08/2022,Sex_known,252137506,99.9,99.1,214913783,,,99.9,99.3,46,99.9,99.9,99.9,95429314,1294663
03/08/2022,Race_eth_NHAIAN,1731708,0.9,0.7,1434556,71.1,58.9,0.9,0.7,43.2,0.7,0.8,1,587368,11643
03/08/2022,Sex_Female,131596086,52.2,51.7,112643610,78.1,66.8,52.4,52,48,54.7,52.5,56.3,52246641,729293
03/08/2022,Ages_18-24_yrs,23516134,9.2,9.2,19075804,76.9,62.4,8.8,8.8,29.5,5.9,9.1,11.4,5619344,148471
03/08/2022,US,254399380,,100,216444565,76.6,65.2,,100,45.8,,100,,95606389,1296882
03/08/2022,Age_known,254373613,99.9,99.9,216438610,,,99.9,99.9,45.8,99.9,99.9,99.9,95606389,1296882
03/08/2022,Ages_25-39_yrs,54030287,21.2,21.2,45146944,79,66,20.9,20.9,34.2,16.2,21.6,23.8,15443807,308282
03/08/2022,Sex_Male,120541420,47.8,47.4,102270173,73.7,62.6,47.6,47.3,43.9,45.3,47.5,43.7,43182673,565370
03/08/2022,Ages_75+_yrs,22692817,8.9,8.9,19590456,95,85.5,9.1,9.1,68.9,14.1,9.4,5.5,13504802,71215
03/08/2022,Ages_<5yrs,49468,0,0,19949,0.3,0.1,0,0,0,0,0,0,0,0
03/08/2022,Ages_<12yrs,9707337,3.8,3.8,7661660,20,15.8,3.5,3.5,0,0,0,0,0,0
03/08/2022,Ages_12-17_yrs,17190415,6.8,6.8,14659569,67.9,57.9,6.8,6.8,22.1,3.4,7,12.2,3237805,158199
03/08/2022,Race_eth_known,189123835,99.9,74.3,168060493,,,99.9,77.6,52.9,99.9,99.9,99.9,85393318,1158651
03/08/2022,Race_eth_Hispanic,39011772,20.6,15.3,33219372,61.2,52.1,19.8,15.3,39.7,14.7,19.6,27.7,12552971,320545
03/08/2022,Ages_12-15_yrs,11189508,4.4,4.4,9514441,66.2,56.2,4.4,4.4,19.3,1.9,4.6,8.4,1836788,108407
03/07/2022,Age_known,254340087,99.9,99.9,216403234,,,99.9,99.9,45.8,99.9,99.9,99.9,95547666,1384013
03/07/2022,Race_eth_NHWhite,104483549,55.3,41.1,94522457,52.9,47.9,56.3,43.7,57.7,61.9,56.7,41.7,52798000,515322
03/07/2022,Race_eth_NHAsian,12620592,6.7,5,11413273,66.4,60.1,6.8,5.3,66.6,8.3,6.6,9.2,7108850,113263
03/07/2022,US,254365854,,100,216409189,76.6,65.2,,100,45.8,,100,,95547666,1384013
03/07/2022,Ages_50-64_yrs,58731734,23.1,23.1,51106051,92.3,80.3,23.6,23.6,51.2,27.4,24.5,23,26161057,318921
03/07/2022,Ages_75+_yrs,22691918,8.9,8.9,19589688,95,85.5,9.1,9.1,68.9,14.1,9.4,5.6,13500604,77097
03/07/2022,Race_eth_NHNHOPI,602689,0.3,0.2,542804,64.9,58.5,0.3,0.3,43.5,0.3,0.3,0.7,223501,8592
03/07/2022,Race_eth_unknown,65268319,34.5,25.7,48377983,,,28.8,22.4,21.6,12,29.2,12,10206802,147740
03/07/2022,Race_eth_NHMult_Oth,11264429,6,4.4,10018987,95,95,6,4.6,53.9,6,5.9,6.3,5128493,77879
03/07/2022,Ages_25-39_yrs,54022120,21.2,21.2,45139328,79,66,20.9,20.9,34.2,16.1,21.6,23.7,15430823,327731
03/07/2022,Ages_18-24_yrs,23511684,9.2,9.2,19071710,76.9,62.4,8.8,8.8,29.4,5.9,9.1,11.5,5613330,158600
03/07/2022,Ages_<5yrs,48977,0,0,19625,0.2,0.1,0,0,0,0,0,0,0,0
03/07/2022,Sex_Female,131578936,52.2,51.7,112625017,78.1,66.8,52.4,52,48,54.7,52.5,56.3,52214510,778195
03/07/2022,Sex_unknown,2261652,0.9,0.9,1530681,,,0.7,0.7,11.7,0.2,0.7,0.2,176973,2404
03/07/2022,Ages_<12yrs,9699440,3.8,3.8,7650407,20,15.8,3.5,3.5,0,0,0,0,0,0
03/07/2022,Ages_12-15_yrs,11187356,4.4,4.4,9511749,66.1,56.2,4.4,4.4,19.3,1.9,4.6,8.4,1832678,115672
03/07/2022,Sex_known,252104202,99.9,99.1,214878508,,,99.9,99.3,46,99.9,99.9,99.9,95370693,1381609
03/07/2022,Sex_Male,120525266,47.8,47.4,102253491,73.7,62.6,47.6,47.3,43.9,45.3,47.5,43.7,43156183,603414
03/07/2022,Ages_5-11_yrs,9644776,3.8,3.8,7629337,33.6,26.5,3.5,3.5,0,0,0,0,0,0
03/07/2022,Ages_12-17_yrs,17187213,6.8,6.8,14655832,67.9,57.9,6.8,6.8,22.1,3.4,7,12.2,3231624,168902
03/07/2022,Race_eth_Hispanic,39002269,20.6,15.3,33209079,61.2,52.1,19.8,15.3,39.7,14.7,19.6,27.7,12539192,342053
03/07/2022,Ages_16-17_yrs,5999857,2.4,2.4,5144083,71.5,61.3,2.4,2.4,27.2,1.5,2.5,3.8,1398946,53230
03/07/2022,Race_eth_known,189097487,99.9,74.3,168031104,,,99.9,77.6,52.8,99.9,99.9,99.9,85340864,1236273
03/07/2022,Age_unknown,25767,0,0,5955,,,0,0,0,0,0,0,0,0
03/07/2022,Ages_65-74_yrs,33487759,13.2,13.2,29091781,95,91.2,13.4,13.4,65.1,19.8,13.9,8.8,18948318,122413
03/07/2022,Race_eth_NHAIAN,1731224,0.9,0.7,1434090,71.1,58.9,0.9,0.7,43.2,0.7,0.8,1,586571,12094
03/07/2022,Race_eth_NHBlack,19392735,10.3,7.6,16890414,47.1,41,10.1,7.8,42.6,8.2,10.1,13.5,6956257,167070
03/07/2022,Ages_40-49_yrs,35008219,13.8,13.8,30098437,85.8,73.8,13.9,13.9,42.1,13.3,14.4,15.2,12661910,210349
03/06/2022,Ages_25-39_yrs,54008643,21.2,21.2,45127937,79,66,20.9,20.9,34.2,16.1,21.6,23.5,15412157,341073
03/06/2022,Ages_40-49_yrs,35002641,13.8,13.8,30093536,85.8,73.8,13.9,13.9,42,13.3,14.4,15.2,12650100,219773
03/06/2022,Race_eth_NHAsian,12617824,6.7,5,11411420,66.4,60.1,6.8,5.3,66.5,8.3,6.6,9.2,7102743,118520
03/06/2022,Race_eth_Hispanic,38988769,20.6,15.3,33195879,61.2,52.1,19.8,15.3,39.6,14.7,19.6,27.9,12520971,360709
03/06/2022,Race_eth_known,189058567,99.9,74.3,167991655,,,99.9,77.6,52.8,99.9,99.9,99.9,85268196,1293780
03/06/2022,Ages_5-11_yrs,9636195,3.8,3.8,7617862,33.5,26.5,3.5,3.5,0,0,0,0,0,0
03/06/2022,Ages_16-17_yrs,5998283,2.4,2.4,5142583,71.5,61.3,2.4,2.4,27.1,1.5,2.5,3.9,1396185,56286
03/06/2022,Ages_12-15_yrs,11184181,4.4,4.4,9508284,66.1,56.2,4.4,4.4,19.2,1.9,4.6,8.5,1827115,122714
03/06/2022,Ages_75+_yrs,22690738,8.9,8.9,19588772,95,85.5,9.1,9.1,68.9,14.1,9.4,5.6,13495491,81697
03/06/2022,Ages_18-24_yrs,23503603,9.2,9.2,19065248,76.8,62.3,8.8,8.8,29.4,5.9,9.1,11.4,5603868,164485
03/06/2022,Ages_65-74_yrs,33485556,13.2,13.2,29090146,95,91.2,13.4,13.4,65.1,19.8,13.9,8.9,18940049,128962
03/06/2022,Race_eth_unknown,65256483,34.5,25.7,48370186,,,28.8,22.4,21.6,12,29.2,12,10198467,154761
03/06/2022,Ages_<12yrs,9690273,3.8,3.8,7638518,20,15.8,3.5,3.5,0,0,0,0,0,0
03/06/2022,Race_eth_NHBlack,19386092,10.3,7.6,16882941,47,41,10,7.8,42.6,8.1,10.1,13.5,6945998,174463
03/06/2022,Ages_50-64_yrs,58725416,23.1,23.1,51100964,92.2,80.3,23.6,23.6,51.2,27.4,24.5,23,26141698,333551
03/06/2022,Ages_12-17_yrs,17182464,6.8,6.8,14650867,67.9,57.9,6.8,6.8,22,3.4,7,12.4,3223300,179000
03/06/2022,Sex_known,252053705,99.9,99.1,214831363,,,99.9,99.3,46,99.9,99.9,99.9,95289790,1445914
03/06/2022,Race_eth_NHMult_Oth,11262347,6,4.4,10016671,95,95,6,4.6,53.9,6,5.9,6.3,5123830,81127
03/06/2022,Sex_Male,120500650,47.8,47.4,102231278,73.7,62.5,47.6,47.3,43.8,45.3,47.5,43.7,43119877,631818
03/06/2022,Race_eth_NHWhite,104470354,55.3,41.1,94508577,52.9,47.9,56.3,43.7,57.6,61.9,56.7,41.5,52765701,537561
03/06/2022,Race_eth_NHAIAN,1730659,0.9,0.7,1433546,71.1,58.9,0.9,0.7,43.1,0.7,0.8,1,585706,12573
03/06/2022,Age_known,254289334,99.9,99.9,216355988,,,99.9,99.9,45.7,99.9,99.9,99.9,95466663,1448541
03/06/2022,Ages_<5yrs,48391,0,0,19212,0.2,0.1,0,0,0,0,0,0,0,0
03/06/2022,Race_eth_NHNHOPI,602522,0.3,0.2,542621,64.9,58.4,0.3,0.3,43.4,0.3,0.3,0.7,223247,8827
03/06/2022,Sex_unknown,2261393,0.9,0.9,1530580,,,0.7,0.7,11.7,0.2,0.7,0.2,176873,2627
03/06/2022,Age_unknown,25764,0,0,5955,,,0,0,0,0,0,0,0,0
03/06/2022,US,254315098,,100,216361943,76.6,65.2,,100,45.7,,100,,95466663,1448541
03/06/2022,Sex_Female,131553055,52.2,51.7,112600085,78.1,66.8,52.4,52,47.9,54.7,52.5,56.3,52169913,814096
03/05/2022,Race_eth_unknown,65250891,34.5,25.7,48367081,,,28.8,22.4,21.6,12,29.2,11.9,10195495,165264
03/05/2022,Sex_unknown,2261354,0.9,0.9,1530556,,,0.7,0.7,11.7,0.2,0.7,0.2,176852,2783
03/05/2022,Ages_65-74_yrs,33484798,13.2,13.2,29089670,95,91.2,13.4,13.4,65.1,19.8,13.9,9,18938168,139285
03/05/2022,US,254290011,,100,216339606,76.6,65.2,,100,45.7,,100,,95433320,1550036
03/05/2022,Ages_12-15_yrs,11182333,4.4,4.4,9506160,66.1,56.2,4.4,4.4,19.2,1.9,4.6,8.7,1823370,134365
03/05/2022,Ages_18-24_yrs,23499574,9.2,9.2,19062049,76.8,62.3,8.8,8.8,29.4,5.9,9.1,11.3,5599522,174506
03/05/2022,Race_eth_NHNHOPI,602440,0.3,0.2,542553,64.9,58.4,0.3,0.3,43.4,0.3,0.3,0.7,223150,9199
03/05/2022,Ages_40-49_yrs,34999759,13.8,13.8,30091493,85.8,73.8,13.9,13.9,42,13.2,14.4,15.1,12644891,233408
03/05/2022,Race_eth_NHMult_Oth,11261440,6,4.4,10015571,95,95,6,4.6,53.8,6,5.9,6.3,5121990,87104
03/05/2022,Race_eth_NHAIAN,1730562,0.9,0.7,1433421,71.1,58.9,0.9,0.7,43.1,0.7,0.8,0.9,585548,13014
03/05/2022,Ages_5-11_yrs,9632001,3.8,3.8,7611916,33.5,26.5,3.5,3.5,0,0,0,0,0,0
03/05/2022,Ages_50-64_yrs,58722644,23.1,23.1,51099018,92.2,80.3,23.6,23.6,51.1,27.4,24.5,23.1,26134873,357437
03/05/2022,Ages_16-17_yrs,5997382,2.4,2.4,5141640,71.5,61.3,2.4,2.4,27.1,1.5,2.5,4,1394382,61656
03/05/2022,Race_eth_known,189039072,99.9,74.3,167972423,,,99.9,77.6,52.8,99.9,99.9,99.9,85237825,1384772
03/05/2022,Ages_<5yrs,48207,0,0,19067,0.2,0.1,0,0,0,0,0,0,0,0
03/05/2022,Ages_<12yrs,9685894,3.8,3.8,7632426,20,15.7,3.5,3.5,0,0,0,0,0,0
03/05/2022,Race_eth_Hispanic,38980550,20.6,15.3,33188850,61.1,52.1,19.8,15.3,39.6,14.7,19.6,27.6,12512532,382740
03/05/2022,Age_unknown,25764,0,0,5955,,,0,0,0,0,0,0,0,0
03/05/2022,Race_eth_NHAsian,12616164,6.7,5,11410099,66.4,60.1,6.8,5.3,66.5,8.3,6.6,9.1,7099282,125951
03/05/2022,Age_known,254264247,99.9,99.9,216333651,,,99.9,99.9,45.7,99.9,99.9,99.9,95433320,1550036
03/05/2022,Race_eth_NHBlack,19383482,10.3,7.6,16879721,47,41,10,7.8,42.5,8.1,10.1,13.5,6942203,187077
03/05/2022,Ages_25-39_yrs,54001479,21.2,21.2,45122652,79,66,20.9,20.9,34.1,16.1,21.6,23.3,15403690,361255
03/05/2022,Ages_12-17_yrs,17179715,6.8,6.8,14647800,67.9,57.9,6.8,6.8,22,3.4,7,12.6,3217752,196021
03/05/2022,Sex_Female,131540231,52.2,51.7,112588536,78,66.8,52.4,52,47.9,54.7,52.5,56.3,52151804,871777
03/05/2022,Sex_known,252028657,99.9,99.1,214809050,,,99.9,99.3,46,99.9,99.9,99.9,95256468,1547253
03/05/2022,Race_eth_NHWhite,104464434,55.3,41.1,94502208,52.9,47.9,56.3,43.7,57.6,61.9,56.7,41.9,52753120,579687
03/05/2022,Sex_Male,120488426,47.8,47.4,102220514,73.7,62.5,47.6,47.3,43.8,45.3,47.5,43.7,43104664,675476
03/05/2022,Ages_75+_yrs,22690384,8.9,8.9,19588543,95,85.5,9.1,9.1,68.9,14.1,9.4,5.7,13494424,88124
03/04/2022,Race_eth_NHAsian,12612726,6.7,5,11407013,66.4,60.1,6.8,5.3,66.4,8.3,6.6,9.2,7092161,126824
03/04/2022,Age_unknown,25763,0,0,5955,,,0,0,0,0,0,0,0,0
03/04/2022,Race_eth_known,189002229,99.9,74.3,167932646,,,99.9,77.6,52.7,99.9,99.9,99.9,85174696,1379208
03/04/2022,Ages_40-49_yrs,34994654,13.8,13.8,30087629,85.8,73.8,13.9,13.9,42,13.2,14.4,15,12633848,232078
03/04/2022,Sex_Female,131515835,52.2,51.7,112564583,78,66.8,52.4,52,47.9,54.7,52.5,56.3,52112681,867411
03/04/2022,Race_eth_NHMult_Oth,11259351,6,4.4,10012897,95,95,6,4.6,53.8,6,5.9,6.3,5117809,86281
03/04/2022,Ages_18-24_yrs,23493547,9.2,9.2,19057364,76.8,62.3,8.8,8.8,29.3,5.9,9.1,11.3,5592100,174814
03/04/2022,Ages_75+_yrs,22689671,8.9,8.9,19588107,95,85.5,9.1,9.1,68.9,14.1,9.4,5.7,13492060,87522
03/04/2022,Sex_Male,120465514,47.8,47.4,102197561,73.7,62.5,47.6,47.2,43.8,45.3,47.5,43.7,43073321,672436
03/04/2022,US,254242594,,100,216292646,76.6,65.1,,100,45.7,,100,,95362798,1542674
03/04/2022,Sex_unknown,2261245,0.9,0.9,1530502,,,0.7,0.7,11.7,0.2,0.7,0.2,176796,2827
03/04/2022,Race_eth_unknown,65240317,34.5,25.7,48359898,,,28.8,22.4,21.6,12,29.2,11.9,10188102,163466
03/04/2022,Ages_25-39_yrs,53990153,21.2,21.2,45113898,78.9,66,20.9,20.9,34.1,16.1,21.6,23.3,15387624,359947
03/04/2022,Race_eth_NHNHOPI,602215,0.3,0.2,542179,64.8,58.4,0.3,0.3,43.2,0.3,0.3,0.6,221918,8170
03/04/2022,Ages_<5yrs,47793,0,0,18666,0.2,0.1,0,0,0,0,0,0,0,0
03/04/2022,Ages_50-64_yrs,58717352,23.1,23.1,51095085,92.2,80.3,23.6,23.6,51.1,27.4,24.5,23,26119161,354884
03/04/2022,Race_eth_NHWhite,104454151,55.3,41.1,94490202,52.9,47.9,56.3,43.7,57.6,61.9,56.7,42,52728824,578904
03/04/2022,Race_eth_NHBlack,19378343,10.3,7.6,16873438,47,40.9,10,7.8,42.5,8.1,10.1,13.5,6934320,185924
03/04/2022,Race_eth_NHAIAN,1730375,0.9,0.7,1433206,71.1,58.9,0.9,0.7,43.1,0.7,0.8,0.9,585240,12961
03/04/2022,Ages_12-15_yrs,11178215,4.4,4.4,9501311,66.1,56.2,4.4,4.4,19.1,1.9,4.6,8.7,1813825,133572
03/04/2022,Race_eth_Hispanic,38965068,20.6,15.3,33173711,61.1,52,19.8,15.3,39.6,14.7,19.6,27.6,12494424,380144
03/04/2022,Sex_known,251981349,99.9,99.1,214762144,,,99.9,99.3,45.9,99.9,99.9,99.9,95186002,1539847
03/04/2022,Age_known,254216831,99.9,99.9,216286691,,,99.9,99.9,45.7,99.9,99.9,99.9,95362798,1542674
03/04/2022,Ages_<12yrs,9674139,3.8,3.8,7614593,20,15.7,3.5,3.5,0,0,0,0,0,0
03/04/2022,Ages_12-17_yrs,17173885,6.8,6.8,14641275,67.9,57.9,6.8,6.8,21.9,3.4,7,12.7,3204240,195201
03/04/2022,Ages_5-11_yrs,9620665,3.8,3.8,7594485,33.5,26.4,3.5,3.5,0,0,0,0,0,0
03/04/2022,Ages_65-74_yrs,33483430,13.2,13.2,29088740,95,91.2,13.4,13.4,65.1,19.9,13.9,9,18933765,138228
03/04/2022,Ages_16-17_yrs,5995670,2.4,2.4,5139964,71.5,61.3,2.4,2.4,27.1,1.5,2.5,4,1390415,61629
03/03/2022,Ages_12-15_yrs,11172743,4.4,4.4,9494146,66.1,56.1,4.4,4.4,19,1.9,4.6,9,1801294,137429
03/03/2022,Ages_40-49_yrs,34987098,13.8,13.8,30080609,85.8,73.7,13.9,13.9,41.9,13.2,14.4,15.1,12614358,231220
03/03/2022,Ages_12-17_yrs,17166120,6.8,6.8,14631727,67.8,57.8,6.8,6.8,21.8,3.3,7,13.1,3186456,200444
03/03/2022,Ages_65-74_yrs,33480527,13.2,13.2,29086496,95,91.2,13.5,13.5,65.1,19.9,13.9,8.8,18922621,134134
03/03/2022,Ages_25-39_yrs,53972606,21.2,21.2,45098171,78.9,65.9,20.9,20.9,34.1,16.1,21.6,23.3,15357985,356617
03/03/2022,Race_eth_NHNHOPI,601852,0.3,0.2,541865,64.8,58.4,0.3,0.3,43.1,0.3,0.3,0.6,221298,7996
03/03/2022,Sex_Male,120430961,47.8,47.4,102160237,73.7,62.5,47.6,47.2,43.8,45.3,47.5,43.7,43018230,669420
03/03/2022,Race_eth_unknown,65222584,34.5,25.7,48346137,,,28.8,22.4,21.6,12,29.2,11.7,10172942,160473
03/03/2022,Ages_50-64_yrs,58708690,23.1,23.1,51087570,92.2,80.3,23.6,23.6,51.1,27.4,24.5,23,26089159,351815
03/03/2022,Ages_16-17_yrs,5993377,2.4,2.4,5137581,71.4,61.2,2.4,2.4,27,1.5,2.5,4.1,1385162,63015
